id,latitude,longitude
1,-7.27775000,112.79697000
2,-7.27776309,112.79698244
3,-7.27777618,112.79699487
4,-7.27778927,112.79700731
5,-7.27780236,112.79701974
6,-7.27781545,112.79703218
7,-7.27782854,112.79704461
8,-7.27784163,112.79705705
9,-7.27785472,112.79706948
10,-7.27786781,112.79708192
11,-7.27788090,112.79709436
12,-7.27789399,112.79710679
13,-7.27790708,112.79711923
14,-7.27792017,112.79713166
15,-7.27793326,112.79714410
16,-7.27794635,112.79715653
17,-7.27795921,112.79716921
18,-7.27797198,112.79718198
19,-7.27798475,112.79719475
20,-7.27799752,112.79720752
21,-7.27801029,112.79722029
22,-7.27802306,112.79723306
23,-7.27803625,112.79724536
24,-7.27804996,112.79725711
25,-7.27806366,112.79726885
26,-7.27807736,112.79728060
27,-7.27809107,112.79729234
28,-7.27810477,112.79730409
29,-7.27811847,112.79731583
30,-7.27813217,112.79732758
31,-7.27814588,112.79733932
32,-7.27815958,112.79735107
33,-7.27817306,112.79736306
34,-7.27818583,112.79737583
35,-7.27819860,112.79738860
36,-7.27821137,112.79740137
37,-7.27822414,112.79741414
38,-7.27823691,112.79742691
39,-7.27824968,112.79743968
40,-7.27826245,112.79745245
41,-7.27827522,112.79746522
42,-7.27828799,112.79747799
43,-7.27830076,112.79749076
44,-7.27831353,112.79750353
45,-7.27832630,112.79751630
46,-7.27833907,112.79752907
47,-7.27835184,112.79754184
48,-7.27836461,112.79755461
49,-7.27837737,112.79756737
50,-7.27839014,112.79758014
51,-7.27840291,112.79759291
52,-7.27841568,112.79760568
53,-7.27842845,112.79761845
54,-7.27844122,112.79763122
55,-7.27845399,112.79764399
56,-7.27846676,112.79765676
57,-7.27847953,112.79766953
58,-7.27849230,112.79768230
59,-7.27850539,112.79769472
60,-7.27851898,112.79770661
61,-7.27853256,112.79771849
62,-7.27854615,112.79773038
63,-7.27855973,112.79774226
64,-7.27857331,112.79775415
65,-7.27858648,112.79776648
66,-7.27859925,112.79777925
67,-7.27861202,112.79779202
68,-7.27862479,112.79780479
69,-7.27863756,112.79781756
70,-7.27865040,112.79783024
71,-7.27866586,112.79783951
72,-7.27868131,112.79784879
73,-7.27869677,112.79785806
74,-7.27871010,112.79787010
75,-7.27872362,112.79788181
76,-7.27873973,112.79788987
77,-7.27875585,112.79789792
78,-7.27877196,112.79790598
