id,latitude,longitude
1,-7.28336000,112.79319000
2,-7.28337781,112.79319252
3,-7.28339562,112.79319504
4,-7.28341344,112.79319756
5,-7.28343125,112.79320008
6,-7.28344906,112.79320259
7,-7.28346687,112.79320511
8,-7.28348468,112.79320763
9,-7.28350250,112.79321015
10,-7.28352031,112.79321267
11,-7.28353812,112.79321519
12,-7.28355593,112.79321771
13,-7.28357374,112.79322023
14,-7.28359156,112.79322275
15,-7.28360937,112.79322526
16,-7.28362718,112.79322778
17,-7.28364499,112.79323030
18,-7.28366280,112.79323282
19,-7.28368062,112.79323534
20,-7.28369843,112.79323786
21,-7.28371624,112.79324038
22,-7.28373405,112.79324290
23,-7.28375187,112.79324542
24,-7.28376968,112.79324793
25,-7.28378749,112.79325045
26,-7.28380530,112.79325297
27,-7.28382311,112.79325549
28,-7.28384093,112.79325801
29,-7.28385874,112.79326053
30,-7.28387655,112.79326305
31,-7.28389436,112.79326557
32,-7.28391217,112.79326809
33,-7.28392999,112.79327060
34,-7.28394780,112.79327312
35,-7.28396561,112.79327564
36,-7.28398342,112.79327816
37,-7.28400123,112.79328068
38,-7.28401905,112.79328320
39,-7.28403686,112.79328572
40,-7.28405467,112.79328824
41,-7.28407248,112.79329076
42,-7.28409029,112.79329327
43,-7.28410811,112.79329579
44,-7.28412592,112.79329831
45,-7.28414373,112.79330083
46,-7.28416154,112.79330335
47,-7.28417935,112.79330587
48,-7.28419717,112.79330839
49,-7.28421498,112.79331091
50,-7.28423279,112.79331342
51,-7.28425060,112.79331594
52,-7.28426841,112.79331846
53,-7.28428623,112.79332098
54,-7.28430404,112.79332350
55,-7.28432185,112.79332602
56,-7.28433966,112.79332854
57,-7.28435733,112.79333183
58,-7.28437478,112.79333620
59,-7.28439229,112.79334030
60,-7.28441013,112.79334261
61,-7.28442797,112.79334493
62,-7.28444581,112.79334725
63,-7.28446365,112.79334956
64,-7.28448149,112.79335188
65,-7.28449932,112.79335420
66,-7.28451716,112.79335651
67,-7.28453500,112.79335883
68,-7.28455284,112.79336115
69,-7.28457068,112.79336346
70,-7.28458852,112.79336578
71,-7.28460636,112.79336810
72,-7.28462420,112.79337042
73,-7.28464204,112.79337273
74,-7.28465988,112.79337505
75,-7.28467771,112.79337737
76,-7.28469555,112.79337968
77,-7.28471339,112.79338200
78,-7.28473123,112.79338432
79,-7.28474907,112.79338663
80,-7.28476691,112.79338895
81,-7.28478475,112.79339127
82,-7.28480259,112.79339358
83,-7.28482043,112.79339590
84,-7.28483827,112.79339822
85,-7.28485610,112.79340053
86,-7.28487394,112.79340285
87,-7.28489178,112.79340517
88,-7.28490962,112.79340748
89,-7.28492746,112.79340980
90,-7.28494530,112.79341212
91,-7.28496314,112.79341443
92,-7.28498098,112.79341675
93,-7.28499882,112.79341907
94,-7.28501666,112.79342138
95,-7.28503449,112.79342370
96,-7.28505233,112.79342602
97,-7.28507017,112.79342833
98,-7.28508801,112.79343065
99,-7.28510585,112.79343297
100,-7.28512369,112.79343528
101,-7.28514153,112.79343760
102,-7.28515937,112.79343992
103,-7.28517720,112.79344228
104,-7.28519503,112.79344464
105,-7.28521287,112.79344701
106,-7.28523070,112.79344937
107,-7.28524853,112.79345173
108,-7.28526637,112.79345410
109,-7.28528420,112.79345646
110,-7.28530203,112.79345882
111,-7.28531987,112.79346119
112,-7.28533770,112.79346355
113,-7.28535553,112.79346591
114,-7.28537336,112.79346828
115,-7.28539120,112.79347064
116,-7.28540903,112.79347300
117,-7.28542686,112.79347537
118,-7.28544470,112.79347773
119,-7.28546253,112.79348009
120,-7.28548036,112.79348246
121,-7.28549820,112.79348482
122,-7.28551603,112.79348718
123,-7.28553386,112.79348955
124,-7.28555169,112.79349191
125,-7.28556953,112.79349427
126,-7.28558736,112.79349664
127,-7.28560519,112.79349900
128,-7.28562303,112.79350136
129,-7.28564086,112.79350373
130,-7.28565869,112.79350609
131,-7.28567653,112.79350846
132,-7.28569436,112.79351082
133,-7.28571219,112.79351318
134,-7.28573002,112.79351555
135,-7.28574786,112.79351791
136,-7.28576569,112.79352027
137,-7.28578352,112.79352264
138,-7.28580136,112.79352500
139,-7.28581919,112.79352736
140,-7.28583702,112.79352973
141,-7.28585486,112.79353209
142,-7.28587269,112.79353445
143,-7.28589052,112.79353682
144,-7.28590835,112.79353918
145,-7.28592619,112.79354154
146,-7.28594402,112.79354391
147,-7.28596185,112.79354627
148,-7.28597969,112.79354863
149,-7.28599751,112.79355107
150,-7.28601532,112.79355362
151,-7.28603313,112.79355616
152,-7.28605093,112.79355870
153,-7.28606874,112.79356125
154,-7.28608655,112.79356379
155,-7.28610436,112.79356634
156,-7.28612217,112.79356888
157,-7.28614008,112.79357000
158,-7.28615806,112.79357000
159,-7.28617587,112.79357147
160,-7.28619333,112.79357583
161,-7.28621068,112.79358045
162,-7.28622568,112.79359045
163,-7.28624082,112.79360000
164,-7.28625000,112.79360000
