id,latitude,longitude
1,-7.28094000,112.79277000
2,-7.28095287,112.79278266
3,-7.28096574,112.79279533
4,-7.28097862,112.79280799
5,-7.28099149,112.79282066
6,-7.28100436,112.79283332
7,-7.28101723,112.79284599
8,-7.28103011,112.79285865
9,-7.28104298,112.79287132
10,-7.28105585,112.79288398
11,-7.28106872,112.79289665
12,-7.28108159,112.79290931
13,-7.28109447,112.79292198
14,-7.28110734,112.79293464
15,-7.28112021,112.79294730
16,-7.28113308,112.79295997
17,-7.28114596,112.79297263
18,-7.28115883,112.79298530
19,-7.28117170,112.79299796
20,-7.28118457,112.79301063
21,-7.28119745,112.79302329
22,-7.28121032,112.79303596
23,-7.28122319,112.79304862
24,-7.28123606,112.79306129
25,-7.28124893,112.79307395
26,-7.28126181,112.79308662
27,-7.28127468,112.79309928
28,-7.28128755,112.79311195
29,-7.28130042,112.79312461
30,-7.28131330,112.79313727
31,-7.28132617,112.79314994
32,-7.28133904,112.79316260
33,-7.28135191,112.79317527
34,-7.28136478,112.79318793
35,-7.28137766,112.79320060
36,-7.28139053,112.79321326
37,-7.28140340,112.79322593
38,-7.28141627,112.79323859
39,-7.28142915,112.79325126
40,-7.28144202,112.79326392
41,-7.28145489,112.79327659
42,-7.28146776,112.79328925
43,-7.28148063,112.79330191
44,-7.28149351,112.79331458
45,-7.28150638,112.79332724
46,-7.28151925,112.79333991
47,-7.28153212,112.79335257
48,-7.28154500,112.79336524
49,-7.28155787,112.79337790
50,-7.28157126,112.79339001
51,-7.28158475,112.79340200
52,-7.28159824,112.79341399
53,-7.28161173,112.79342598
54,-7.28162522,112.79343797
55,-7.28163871,112.79344997
56,-7.28165209,112.79346209
57,-7.28166486,112.79347486
58,-7.28167763,112.79348763
59,-7.28169040,112.79350040
60,-7.28170316,112.79351316
61,-7.28171593,112.79352593
62,-7.28172870,112.79353870
63,-7.28174147,112.79355147
64,-7.28175451,112.79356395
65,-7.28176810,112.79357584
66,-7.28178168,112.79358772
67,-7.28179526,112.79359961
68,-7.28180885,112.79361149
69,-7.28182243,112.79362338
70,-7.28183444,112.79363666
71,-7.28184448,112.79365171
72,-7.28185594,112.79366553
73,-7.28186914,112.79367784
74,-7.28188235,112.79369015
75,-7.28189556,112.79370246
76,-7.28190877,112.79371476
77,-7.28192198,112.79372707
78,-7.28193519,112.79373938
79,-7.28194840,112.79375169
80,-7.28196160,112.79376399
81,-7.28197481,112.79377630
82,-7.28198802,112.79378861
83,-7.28200123,112.79380092
84,-7.28201444,112.79381323
85,-7.28202765,112.79382553
86,-7.28204085,112.79383784
87,-7.28205406,112.79385015
88,-7.28206727,112.79386246
89,-7.28208048,112.79387477
90,-7.28209369,112.79388707
91,-7.28210690,112.79389938
92,-7.28212010,112.79391169
93,-7.28213331,112.79392400
94,-7.28214652,112.79393630
95,-7.28215973,112.79394861
96,-7.28217294,112.79396092
97,-7.28218615,112.79397323
98,-7.28219936,112.79398554
99,-7.28221256,112.79399784
100,-7.28222577,112.79401015
101,-7.28223898,112.79402246
102,-7.28225219,112.79403477
103,-7.28226540,112.79404708
104,-7.28227861,112.79405938
105,-7.28229000,112.79407000
