id,latitude,longitude
1,-7.28629000,112.79369000
2,-7.28629810,112.79370619
3,-7.28630000,112.79372387
4,-7.28629951,112.79374194
5,-7.28629512,112.79375952
6,-7.28629072,112.79377711
7,-7.28629000,112.79379515
8,-7.28628946,112.79381324
9,-7.28628648,112.79383112
10,-7.28628350,112.79384900
11,-7.28628052,112.79386688
12,-7.28627754,112.79388477
13,-7.28627456,112.79390265
14,-7.28627158,112.79392053
15,-7.28626879,112.79393844
16,-7.28626623,112.79395639
17,-7.28626367,112.79397434
18,-7.28626110,112.79399229
19,-7.28625854,112.79401023
20,-7.28625597,112.79402818
21,-7.28625341,112.79404613
22,-7.28625085,112.79406408
23,-7.28624828,112.79408202
24,-7.28624572,112.79409997
25,-7.28624315,112.79411792
26,-7.28624059,112.79413587
27,-7.28623803,112.79415381
28,-7.28623546,112.79417176
29,-7.28623290,112.79418971
30,-7.28623033,112.79420766
31,-7.28622777,112.79422561
32,-7.28622521,112.79424355
33,-7.28622264,112.79426150
34,-7.28622008,112.79427945
35,-7.28621751,112.79429740
36,-7.28621495,112.79431534
37,-7.28621239,112.79433329
38,-7.28620973,112.79435122
39,-7.28620580,112.79436892
40,-7.28620186,112.79438661
41,-7.28619793,112.79440430
42,-7.28619400,112.79442200
43,-7.28619007,112.79443969
44,-7.28618659,112.79445748
45,-7.28618312,112.79447528
46,-7.28617965,112.79449307
47,-7.28617617,112.79451086
48,-7.28617270,112.79452865
49,-7.28616923,112.79454644
50,-7.28616576,112.79456423
51,-7.28616229,112.79458203
52,-7.28615882,112.79459982
53,-7.28615534,112.79461761
54,-7.28615187,112.79463540
55,-7.28614840,112.79465319
56,-7.28614493,112.79467099
57,-7.28614146,112.79468878
58,-7.28613799,112.79470657
59,-7.28613451,112.79472436
60,-7.28613104,112.79474215
61,-7.28612757,112.79475995
62,-7.28612410,112.79477774
63,-7.28612063,112.79479553
64,-7.28611716,112.79481332
65,-7.28611369,112.79483111
66,-7.28611021,112.79484890
67,-7.28611000,112.79486702
68,-7.28611000,112.79488515
69,-7.28610775,112.79490309
70,-7.28610468,112.79492095
71,-7.28610161,112.79493882
72,-7.28609854,112.79495669
73,-7.28609547,112.79497455
74,-7.28609240,112.79499242
75,-7.28608933,112.79501029
76,-7.28608625,112.79502815
77,-7.28608318,112.79504602
78,-7.28608011,112.79506389
79,-7.28607704,112.79508175
80,-7.28607397,112.79509962
81,-7.28607090,112.79511749
82,-7.28606783,112.79513535
83,-7.28606476,112.79515322
84,-7.28606169,112.79517109
85,-7.28605862,112.79518895
86,-7.28605555,112.79520682
87,-7.28605248,112.79522469
88,-7.28604940,112.79524255
89,-7.28604633,112.79526042
90,-7.28604326,112.79527829
91,-7.28604019,112.79529615
92,-7.28603712,112.79531402
93,-7.28603405,112.79533189
94,-7.28603098,112.79534975
95,-7.28602791,112.79536762
96,-7.28602484,112.79538549
97,-7.28602177,112.79540335
98,-7.28601870,112.79542122
99,-7.28601563,112.79543909
100,-7.28601256,112.79545695
101,-7.28600948,112.79547482
102,-7.28600641,112.79549269
103,-7.28600334,112.79551055
104,-7.28600027,112.79552842
105,-7.28599766,112.79554636
106,-7.28599510,112.79556431
107,-7.28599254,112.79558225
108,-7.28598997,112.79560020
109,-7.28598719,112.79561812
110,-7.28598442,112.79563603
111,-7.28598164,112.79565395
112,-7.28597887,112.79567186
113,-7.28597609,112.79568978
114,-7.28597331,112.79570770
115,-7.28597054,112.79572561
116,-7.28596776,112.79574353
117,-7.28596499,112.79576144
118,-7.28596221,112.79577936
119,-7.28595944,112.79579727
120,-7.28595666,112.79581519
121,-7.28595389,112.79583311
122,-7.28595111,112.79585102
123,-7.28594833,112.79586894
124,-7.28594556,112.79588685
125,-7.28594278,112.79590477
126,-7.28594001,112.79592268
127,-7.28593723,112.79594060
128,-7.28593446,112.79595851
129,-7.28593168,112.79597643
130,-7.28592890,112.79599435
131,-7.28592613,112.79601226
132,-7.28592335,112.79603018
133,-7.28592058,112.79604809
134,-7.28591780,112.79606601
135,-7.28591503,112.79608392
136,-7.28591225,112.79610184
137,-7.28590947,112.79611976
138,-7.28590670,112.79613767
139,-7.28590392,112.79615559
140,-7.28590115,112.79617350
141,-7.28589837,112.79619142
142,-7.28589560,112.79620933
143,-7.28589282,112.79622725
144,-7.28589004,112.79624516
145,-7.28588727,112.79626308
146,-7.28588449,112.79628100
147,-7.28588172,112.79629891
148,-7.28587886,112.79631681
149,-7.28587588,112.79633470
150,-7.28587290,112.79635258
151,-7.28586992,112.79637046
152,-7.28586694,112.79638834
153,-7.28586396,112.79640623
154,-7.28586098,112.79642411
155,-7.28585807,112.79644200
156,-7.28585519,112.79645990
157,-7.28585232,112.79647780
158,-7.28584944,112.79649570
159,-7.28584656,112.79651360
160,-7.28584369,112.79653150
161,-7.28584081,112.79654940
162,-7.28583793,112.79656730
163,-7.28583506,112.79658520
164,-7.28583218,112.79660310
165,-7.28582930,112.79662100
166,-7.28582643,112.79663890
167,-7.28582355,112.79665679
168,-7.28582067,112.79667469
169,-7.28581780,112.79669259
170,-7.28581492,112.79671049
171,-7.28581204,112.79672839
