id,latitude,longitude
1,-7.28166000,112.79252000
2,-7.28164254,112.79252436
3,-7.28162508,112.79252873
4,-7.28161000,112.79252723
5,-7.28159919,112.79252000
6,-7.28158120,112.79252000
7,-7.28157313,112.79253000
8,-7.28156000,112.79253489
9,-7.28155000,112.79254295
10,-7.28154000,112.79255100
11,-7.28154000,112.79256913
12,-7.28154000,112.79258726
13,-7.28154000,112.79260539
14,-7.28155000,112.79261345
15,-7.28156000,112.79262150
16,-7.28156955,112.79263000
17,-7.28158345,112.79264000
18,-7.28160144,112.79264000
19,-7.28161000,112.79263050
20,-7.28162749,112.79263000
21,-7.28163556,112.79262000
22,-7.28165315,112.79261671
23,-7.28167061,112.79261235
24,-7.28168000,112.79261000
