id,latitude,longitude
1,-7.28321000,112.79319000
2,-7.28322708,112.79318431
3,-7.28324311,112.79318311
4,-7.28325828,112.79319000
5,-7.28326634,112.79320000
6,-7.28328433,112.79320000
7,-7.28330232,112.79320000
8,-7.28332000,112.79319969
9,-7.28332837,112.79319000
10,-7.28334000,112.79317771
11,-7.28335000,112.79316966
12,-7.28335000,112.79315153
13,-7.28336000,112.79314347
14,-7.28336000,112.79312534
15,-7.28335803,112.79310803
16,-7.28334526,112.79309526
17,-7.28333935,112.79308000
18,-7.28333000,112.79307129
19,-7.28331329,112.79307000
20,-7.28331000,112.79305519
21,-7.28331000,112.79304000
