id,latitude,longitude
1,-7.28960000,112.79231000
2,-7.28958315,112.79231636
3,-7.28956631,112.79232271
4,-7.28954946,112.79232907
5,-7.28953262,112.79233543
6,-7.28951577,112.79234178
7,-7.28949893,112.79234814
8,-7.28948208,112.79235450
9,-7.28946524,112.79236085
10,-7.28944839,112.79236721
11,-7.28943155,112.79237357
12,-7.28941470,112.79237992
13,-7.28939786,112.79238628
14,-7.28938101,112.79239264
15,-7.28936417,112.79239899
16,-7.28934732,112.79240535
17,-7.28933048,112.79241171
18,-7.28931363,112.79241806
19,-7.28929679,112.79242442
20,-7.28927994,112.79243078
21,-7.28926310,112.79243713
22,-7.28924625,112.79244349
23,-7.28922941,112.79244985
24,-7.28921256,112.79245620
25,-7.28919572,112.79246256
26,-7.28917887,112.79246892
27,-7.28916203,112.79247527
28,-7.28914518,112.79248163
29,-7.28912834,112.79248799
30,-7.28911149,112.79249434
31,-7.28909465,112.79250070
32,-7.28907780,112.79250706
33,-7.28906107,112.79251371
34,-7.28904445,112.79252062
35,-7.28902782,112.79252754
36,-7.28901119,112.79253445
37,-7.28899456,112.79254136
38,-7.28897793,112.79254827
39,-7.28896131,112.79255519
40,-7.28894468,112.79256210
41,-7.28892805,112.79256901
42,-7.28891142,112.79257593
43,-7.28889479,112.79258284
44,-7.28887817,112.79258975
45,-7.28886154,112.79259666
46,-7.28884491,112.79260358
47,-7.28882828,112.79261049
48,-7.28881165,112.79261740
49,-7.28879503,112.79262432
50,-7.28877840,112.79263123
51,-7.28876177,112.79263814
52,-7.28874514,112.79264505
53,-7.28872851,112.79265197
54,-7.28871188,112.79265888
55,-7.28869526,112.79266579
56,-7.28867863,112.79267271
57,-7.28866200,112.79267962
58,-7.28864537,112.79268653
59,-7.28862874,112.79269344
60,-7.28861212,112.79270036
61,-7.28859549,112.79270727
62,-7.28857886,112.79271418
63,-7.28856223,112.79272109
64,-7.28854560,112.79272801
65,-7.28852898,112.79273492
66,-7.28851235,112.79274183
67,-7.28849572,112.79274875
68,-7.28847909,112.79275566
69,-7.28846246,112.79276257
70,-7.28844583,112.79276948
71,-7.28842921,112.79277640
72,-7.28841258,112.79278331
73,-7.28839595,112.79279022
74,-7.28837932,112.79279714
75,-7.28836269,112.79280405
76,-7.28834607,112.79281096
77,-7.28832944,112.79281787
78,-7.28831281,112.79282479
79,-7.28829618,112.79283170
80,-7.28827955,112.79283861
81,-7.28826293,112.79284553
82,-7.28824630,112.79285244
83,-7.28822967,112.79285935
84,-7.28821304,112.79286626
85,-7.28819641,112.79287318
86,-7.28817978,112.79288008
87,-7.28816277,112.79288596
88,-7.28814576,112.79289185
89,-7.28812875,112.79289774
90,-7.28811173,112.79290363
91,-7.28809472,112.79290952
92,-7.28807771,112.79291541
93,-7.28806070,112.79292130
94,-7.28804369,112.79292719
95,-7.28802668,112.79293307
96,-7.28800966,112.79293896
97,-7.28799265,112.79294485
98,-7.28797564,112.79295074
99,-7.28795863,112.79295663
100,-7.28794162,112.79296252
101,-7.28792461,112.79296841
102,-7.28790779,112.79297483
103,-7.28789105,112.79298146
104,-7.28787431,112.79298809
105,-7.28785756,112.79299471
106,-7.28784082,112.79300134
107,-7.28782408,112.79300797
108,-7.28780734,112.79301460
109,-7.28779060,112.79302122
110,-7.28777385,112.79302785
111,-7.28775711,112.79303448
112,-7.28774037,112.79304110
113,-7.28772363,112.79304773
114,-7.28770689,112.79305436
115,-7.28769014,112.79306098
116,-7.28767340,112.79306761
117,-7.28765666,112.79307424
