id,latitude,longitude
1,-7.28338000,112.79311000
2,-7.28336201,112.79311000
3,-7.28334866,112.79309866
4,-7.28334000,112.79308416
5,-7.28333000,112.79307611
6,-7.28331808,112.79307000
7,-7.28331000,112.79306001
8,-7.28329202,112.79306000
9,-7.28327404,112.79306000
10,-7.28326597,112.79307000
11,-7.28325000,112.79307203
12,-7.28324000,112.79308008
13,-7.28323185,112.79309000
14,-7.28322378,112.79310000
15,-7.28322000,112.79311432
16,-7.28322000,112.79313245
17,-7.28322000,112.79315059
18,-7.28322865,112.79316000
19,-7.28323477,112.79317477
20,-7.28324754,112.79318754
21,-7.28326000,112.79319455
22,-7.28327258,112.79320000
23,-7.28329057,112.79320000
24,-7.28330856,112.79320000
25,-7.28332000,112.79319340
26,-7.28333461,112.79319000
27,-7.28335260,112.79319000
