id,latitude,longitude
1,-7.28625000,112.79360000
2,-7.28626277,112.79361277
3,-7.28627000,112.79362787
4,-7.28627595,112.79364000
5,-7.28628000,112.79365405
6,-7.28629000,112.79366210
7,-7.28629721,112.79367721
8,-7.28631000,112.79368409
9,-7.28632212,112.79369000
10,-7.28633019,112.79370000
11,-7.28634817,112.79370000
12,-7.28636437,112.79369563
13,-7.28638006,112.79369000
14,-7.28639000,112.79368189
15,-7.28640000,112.79367383
16,-7.28641000,112.79366578
17,-7.28642189,112.79365703
18,-7.28643935,112.79365266
19,-7.28645000,112.79365000
