id,latitude,longitude
1,-7.28094000,112.79275000
2,-7.28095753,112.79274595
3,-7.28097507,112.79274191
4,-7.28099260,112.79273786
5,-7.28101013,112.79273382
6,-7.28102766,112.79272977
7,-7.28104520,112.79272572
8,-7.28106273,112.79272168
9,-7.28108026,112.79271763
10,-7.28109780,112.79271359
11,-7.28111533,112.79270954
12,-7.28113286,112.79270549
13,-7.28115040,112.79270145
14,-7.28116793,112.79269740
15,-7.28118546,112.79269336
16,-7.28120304,112.79268955
17,-7.28122083,112.79268691
18,-7.28123863,112.79268428
19,-7.28125642,112.79268164
20,-7.28127422,112.79267900
21,-7.28129202,112.79267637
22,-7.28130981,112.79267373
23,-7.28132761,112.79267110
24,-7.28134540,112.79266846
25,-7.28136320,112.79266582
26,-7.28138099,112.79266319
27,-7.28139879,112.79266055
28,-7.28141658,112.79265791
29,-7.28143438,112.79265528
30,-7.28145217,112.79265264
31,-7.28146997,112.79265000
