id,latitude,longitude
1,-7.27890000,112.79795000
2,-7.27891796,112.79795106
3,-7.27893591,112.79795211
4,-7.27895387,112.79795317
5,-7.27897182,112.79795422
6,-7.27898978,112.79795528
7,-7.27900774,112.79795634
8,-7.27902569,112.79795739
9,-7.27904365,112.79795845
10,-7.27906160,112.79795951
11,-7.27907953,112.79795902
12,-7.27909742,112.79795719
13,-7.27911531,112.79795535
14,-7.27913321,112.79795352
15,-7.27915110,112.79795168
16,-7.27916900,112.79794985
17,-7.27918689,112.79794801
18,-7.27920478,112.79794618
19,-7.27922268,112.79794434
20,-7.27924057,112.79794251
21,-7.27925847,112.79794067
22,-7.27927636,112.79793883
23,-7.27929425,112.79793700
24,-7.27931215,112.79793516
25,-7.27933004,112.79793333
26,-7.27934794,112.79793149
27,-7.27936583,112.79792966
28,-7.27938373,112.79792782
29,-7.27940162,112.79792599
30,-7.27941951,112.79792415
31,-7.27943741,112.79792232
32,-7.27945530,112.79792048
33,-7.27947326,112.79792000
34,-7.27949125,112.79792000
35,-7.27950924,112.79792000
36,-7.27952722,112.79792000
37,-7.27954521,112.79792000
38,-7.27956318,112.79791931
39,-7.27958114,112.79791837
40,-7.27959910,112.79791743
41,-7.27961706,112.79791649
42,-7.27963503,112.79791555
43,-7.27965299,112.79791461
44,-7.27967095,112.79791368
45,-7.27968891,112.79791274
46,-7.27970688,112.79791180
47,-7.27972484,112.79791086
48,-7.27974280,112.79790992
49,-7.27976076,112.79790898
50,-7.27977873,112.79790804
51,-7.27979669,112.79790710
52,-7.27981465,112.79790616
53,-7.27983261,112.79790522
54,-7.27985057,112.79790428
55,-7.27986854,112.79790334
56,-7.27988650,112.79790241
57,-7.27990446,112.79790147
58,-7.27992242,112.79790053
59,-7.27994039,112.79789959
60,-7.27995835,112.79789865
61,-7.27997631,112.79789771
62,-7.27999427,112.79789677
63,-7.28001224,112.79789583
64,-7.28003020,112.79789489
65,-7.28004816,112.79789395
66,-7.28006612,112.79789301
67,-7.28008408,112.79789207
68,-7.28010205,112.79789113
69,-7.28012001,112.79789020
70,-7.28013797,112.79788926
71,-7.28015593,112.79788832
72,-7.28017390,112.79788738
73,-7.28019186,112.79788644
74,-7.28020982,112.79788550
75,-7.28022778,112.79788456
76,-7.28024574,112.79788362
77,-7.28026371,112.79788268
78,-7.28028167,112.79788174
79,-7.28029963,112.79788080
80,-7.28031759,112.79787986
81,-7.28033556,112.79787893
82,-7.28035352,112.79787799
83,-7.28037148,112.79787705
84,-7.28038944,112.79787611
85,-7.28040741,112.79787517
86,-7.28042537,112.79787423
87,-7.28044333,112.79787329
88,-7.28046129,112.79787235
89,-7.28047925,112.79787141
90,-7.28049722,112.79787047
91,-7.28051518,112.79786953
92,-7.28053314,112.79786859
93,-7.28055110,112.79786765
94,-7.28056907,112.79786672
95,-7.28058703,112.79786578
96,-7.28060499,112.79786484
97,-7.28062295,112.79786390
98,-7.28064092,112.79786296
99,-7.28065888,112.79786202
100,-7.28067684,112.79786108
101,-7.28069480,112.79786014
102,-7.28071276,112.79785920
103,-7.28073073,112.79785826
104,-7.28074869,112.79785732
105,-7.28076665,112.79785638
106,-7.28078461,112.79785545
107,-7.28080258,112.79785451
108,-7.28082054,112.79785357
109,-7.28083850,112.79785263
110,-7.28085646,112.79785169
111,-7.28087443,112.79785075
112,-7.28089239,112.79784981
113,-7.28091035,112.79784887
114,-7.28092831,112.79784793
115,-7.28094627,112.79784699
116,-7.28096424,112.79784605
117,-7.28098220,112.79784511
118,-7.28100016,112.79784417
119,-7.28101812,112.79784324
120,-7.28103609,112.79784230
121,-7.28105405,112.79784136
122,-7.28107201,112.79784042
123,-7.28108998,112.79783957
124,-7.28110795,112.79783878
125,-7.28112592,112.79783800
126,-7.28114389,112.79783722
127,-7.28116186,112.79783644
128,-7.28117983,112.79783566
129,-7.28119779,112.79783488
130,-7.28121576,112.79783410
131,-7.28123373,112.79783332
132,-7.28125170,112.79783253
133,-7.28126967,112.79783175
134,-7.28128764,112.79783097
135,-7.28130561,112.79783019
136,-7.28132358,112.79782941
137,-7.28134155,112.79782863
138,-7.28135952,112.79782785
139,-7.28137749,112.79782707
140,-7.28139546,112.79782628
141,-7.28141343,112.79782550
142,-7.28143140,112.79782472
143,-7.28144937,112.79782394
144,-7.28146734,112.79782316
145,-7.28148531,112.79782238
146,-7.28150328,112.79782160
147,-7.28152125,112.79782082
148,-7.28153922,112.79782003
149,-7.28155698,112.79781717
150,-7.28157472,112.79781421
151,-7.28159247,112.79781126
152,-7.28161035,112.79781000
153,-7.28162834,112.79781000
154,-7.28164632,112.79781000
155,-7.28166431,112.79781000
156,-7.28168230,112.79781000
157,-7.28170028,112.79781000
158,-7.28171827,112.79781000
159,-7.28173626,112.79781000
160,-7.28175424,112.79781000
161,-7.28177200,112.79781100
162,-7.28178811,112.79781905
163,-7.28179596,112.79783000
164,-7.28180990,112.79783990
165,-7.28181563,112.79785563
166,-7.28182000,112.79787192
167,-7.28182000,112.79789006
168,-7.28182366,112.79790731
169,-7.28183000,112.79792392
170,-7.28183000,112.79794206
171,-7.28183000,112.79796019
172,-7.28183000,112.79797832
173,-7.28183000,112.79799645
174,-7.28183000,112.79801459
175,-7.28183000,112.79803272
176,-7.28183000,112.79805085
177,-7.28183000,112.79806899
178,-7.28183000,112.79808712
179,-7.28183000,112.79810525
180,-7.28183000,112.79812338
181,-7.28183000,112.79814152
182,-7.28183000,112.79815965
183,-7.28183000,112.79817778
184,-7.28183000,112.79819591
185,-7.28183000,112.79821405
186,-7.28183000,112.79823218
187,-7.28183000,112.79825031
188,-7.28183000,112.79826844
189,-7.28183000,112.79828658
190,-7.28183000,112.79830471
191,-7.28183000,112.79832284
192,-7.28183000,112.79834098
193,-7.28183000,112.79835911
194,-7.28183000,112.79837724
195,-7.28183000,112.79839537
196,-7.28183000,112.79841351
197,-7.28183000,112.79843164
198,-7.28183000,112.79844977
199,-7.28183000,112.79846790
200,-7.28183000,112.79848604
201,-7.28183000,112.79850417
202,-7.28183000,112.79852230
203,-7.28183000,112.79854043
204,-7.28183000,112.79855857
205,-7.28183000,112.79857670
206,-7.28183000,112.79859483
207,-7.28183000,112.79861297
208,-7.28183000,112.79863110
209,-7.28183000,112.79864923
210,-7.28183000,112.79866736
211,-7.28183000,112.79868550
212,-7.28183000,112.79870363
213,-7.28183000,112.79872176
214,-7.28183000,112.79873989
215,-7.28183000,112.79875803
216,-7.28183000,112.79877616
217,-7.28183000,112.79879429
218,-7.28183000,112.79881242
219,-7.28183000,112.79883056
220,-7.28183000,112.79884869
221,-7.28183000,112.79886682
222,-7.28183000,112.79888496
223,-7.28183000,112.79890309
224,-7.28183000,112.79892122
225,-7.28183000,112.79893935
226,-7.28183000,112.79895749
227,-7.28182976,112.79897561
228,-7.28182897,112.79899373
229,-7.28182818,112.79901184
230,-7.28182739,112.79902996
231,-7.28182661,112.79904807
232,-7.28182582,112.79906619
233,-7.28182503,112.79908431
234,-7.28182424,112.79910242
235,-7.28182345,112.79912054
236,-7.28182267,112.79913865
237,-7.28182188,112.79915677
238,-7.28182109,112.79917488
239,-7.28182030,112.79919300
240,-7.28182183,112.79921097
241,-7.28182481,112.79922885
242,-7.28182779,112.79924673
243,-7.28183113,112.79926454
244,-7.28183553,112.79928212
245,-7.28183993,112.79929970
246,-7.28184796,112.79931592
247,-7.28185606,112.79933211
248,-7.28186415,112.79934830
249,-7.28187225,112.79936449
250,-7.28188068,112.79938034
251,-7.28189680,112.79938840
252,-7.28191291,112.79939646
253,-7.28192978,112.79940244
254,-7.28194723,112.79940681
255,-7.28196480,112.79941053
256,-7.28198268,112.79941252
257,-7.28200056,112.79941451
258,-7.28201844,112.79941649
259,-7.28203632,112.79941848
260,-7.28205422,112.79941992
261,-7.28207220,112.79941959
262,-7.28209019,112.79941926
263,-7.28210817,112.79941892
264,-7.28212615,112.79941859
265,-7.28214414,112.79941826
266,-7.28216212,112.79941792
267,-7.28218010,112.79941759
268,-7.28219809,112.79941726
269,-7.28221607,112.79941692
270,-7.28223405,112.79941659
271,-7.28225204,112.79941626
272,-7.28227002,112.79941593
273,-7.28228800,112.79941559
274,-7.28230599,112.79941526
275,-7.28232397,112.79941493
276,-7.28234195,112.79941459
277,-7.28235994,112.79941426
278,-7.28237792,112.79941393
279,-7.28239591,112.79941359
280,-7.28241389,112.79941326
281,-7.28243187,112.79941293
282,-7.28244986,112.79941260
283,-7.28246784,112.79941226
