id,latitude,longitude
1,-7.28324000,112.79305000
2,-7.28324573,112.79306719
3,-7.28324542,112.79308000
4,-7.28323735,112.79309000
5,-7.28322929,112.79310000
6,-7.28322000,112.79310877
7,-7.28322000,112.79312690
8,-7.28322000,112.79314504
9,-7.28322314,112.79316000
10,-7.28323086,112.79317086
11,-7.28324363,112.79318363
12,-7.28325901,112.79319000
13,-7.28326708,112.79320000
14,-7.28328507,112.79320000
15,-7.28330305,112.79320000
16,-7.28332000,112.79319895
17,-7.28332911,112.79319000
18,-7.28334709,112.79319000
19,-7.28336000,112.79319000
