id,latitude,longitude
1,-7.28331000,112.79304000
2,-7.28331000,112.79302187
3,-7.28331000,112.79300373
4,-7.28331000,112.79298560
5,-7.28331000,112.79296747
6,-7.28331000,112.79294934
7,-7.28331000,112.79293120
8,-7.28331000,112.79291307
9,-7.28330931,112.79289499
10,-7.28330683,112.79287703
11,-7.28330435,112.79285907
12,-7.28330188,112.79284111
13,-7.28329940,112.79282315
14,-7.28329692,112.79280519
15,-7.28329445,112.79278723
16,-7.28329197,112.79276927
17,-7.28328949,112.79275131
18,-7.28328701,112.79273335
19,-7.28328454,112.79271539
20,-7.28328206,112.79269743
21,-7.28327958,112.79267947
22,-7.28327710,112.79266151
23,-7.28327463,112.79264355
24,-7.28327215,112.79262559
25,-7.28326963,112.79260763
26,-7.28326680,112.79258973
27,-7.28326397,112.79257182
28,-7.28326114,112.79255391
29,-7.28325832,112.79253601
30,-7.28325549,112.79251810
31,-7.28325266,112.79250019
32,-7.28324983,112.79248228
33,-7.28324701,112.79246438
34,-7.28324418,112.79244647
35,-7.28324135,112.79242856
36,-7.28323668,112.79241115
37,-7.28323032,112.79239419
38,-7.28322396,112.79237723
39,-7.28321760,112.79236026
40,-7.28321124,112.79234330
41,-7.28320126,112.79232835
42,-7.28319042,112.79231389
43,-7.28317936,112.79229968
44,-7.28316325,112.79229162
45,-7.28314713,112.79228357
46,-7.28313102,112.79227551
47,-7.28311596,112.79226596
48,-7.28310319,112.79225319
49,-7.28308651,112.79225000
50,-7.28306972,112.79224486
51,-7.28305286,112.79224000
52,-7.28303488,112.79224000
53,-7.28301689,112.79224000
54,-7.28299896,112.79224110
55,-7.28298106,112.79224289
56,-7.28296316,112.79224468
57,-7.28294526,112.79224647
58,-7.28292736,112.79224826
59,-7.28290948,112.79225013
60,-7.28289202,112.79225449
61,-7.28287456,112.79225886
62,-7.28285706,112.79226304
63,-7.28283955,112.79226717
64,-7.28282203,112.79227129
65,-7.28280452,112.79227541
66,-7.28278700,112.79227953
67,-7.28276948,112.79228365
68,-7.28275197,112.79228777
69,-7.28273445,112.79229189
70,-7.28271694,112.79229601
71,-7.28269943,112.79230016
72,-7.28268212,112.79230511
73,-7.28266482,112.79231005
74,-7.28264751,112.79231500
75,-7.28263021,112.79231994
76,-7.28261290,112.79232488
77,-7.28259560,112.79232983
78,-7.28257829,112.79233477
79,-7.28256099,112.79233972
80,-7.28254341,112.79234355
81,-7.28252582,112.79234732
82,-7.28250823,112.79235109
83,-7.28249063,112.79235486
84,-7.28247304,112.79235863
85,-7.28245545,112.79236240
86,-7.28243785,112.79236617
87,-7.28242026,112.79236994
88,-7.28240267,112.79237371
89,-7.28238507,112.79237748
90,-7.28236748,112.79238125
91,-7.28234989,112.79238502
92,-7.28233229,112.79238879
93,-7.28231470,112.79239256
94,-7.28229711,112.79239633
95,-7.28227951,112.79240010
96,-7.28226192,112.79240387
97,-7.28224433,112.79240764
98,-7.28222673,112.79241141
99,-7.28220914,112.79241518
100,-7.28219155,112.79241895
101,-7.28217395,112.79242272
102,-7.28215636,112.79242649
103,-7.28213877,112.79243026
104,-7.28212117,112.79243403
105,-7.28210358,112.79243780
106,-7.28208598,112.79244157
107,-7.28206839,112.79244534
108,-7.28205080,112.79244911
109,-7.28203320,112.79245288
110,-7.28201561,112.79245665
111,-7.28199800,112.79246035
112,-7.28198029,112.79246348
113,-7.28196257,112.79246661
114,-7.28194485,112.79246973
115,-7.28192714,112.79247286
116,-7.28190942,112.79247598
117,-7.28189170,112.79247911
118,-7.28187398,112.79248224
119,-7.28185627,112.79248536
120,-7.28183855,112.79248849
121,-7.28182083,112.79249162
122,-7.28180312,112.79249474
123,-7.28178540,112.79249787
124,-7.28176768,112.79250100
125,-7.28174997,112.79250412
126,-7.28173225,112.79250725
127,-7.28171453,112.79251038
128,-7.28169681,112.79251350
129,-7.28167910,112.79251663
130,-7.28166138,112.79251976
