id,latitude,longitude
1,-7.28640000,112.79370000
2,-7.28640000,112.79368187
3,-7.28640622,112.79367000
4,-7.28641304,112.79365696
5,-7.28642000,112.79364175
6,-7.28642450,112.79362550
7,-7.28642978,112.79360978
8,-7.28642000,112.79359575
9,-7.28641764,112.79358000
10,-7.28640957,112.79357000
11,-7.28640000,112.79356152
12,-7.28639000,112.79355346
13,-7.28637545,112.79355000
14,-7.28636000,112.79354744
15,-7.28634940,112.79354000
16,-7.28633390,112.79354610
17,-7.28631881,112.79354440
18,-7.28630270,112.79353635
19,-7.28629000,112.79353000
