id,latitude,longitude
1,-7.28229000,112.79407000
2,-7.28230277,112.79405723
3,-7.28231554,112.79404446
4,-7.28232831,112.79403169
5,-7.28234108,112.79401892
6,-7.28235368,112.79400599
7,-7.28236590,112.79399268
8,-7.28237812,112.79397937
9,-7.28239033,112.79396607
10,-7.28240255,112.79395276
11,-7.28241477,112.79393945
12,-7.28242698,112.79392614
13,-7.28243920,112.79391283
14,-7.28245142,112.79389953
15,-7.28246364,112.79388622
16,-7.28247585,112.79387291
17,-7.28248807,112.79385960
18,-7.28250029,112.79384629
19,-7.28251250,112.79383299
20,-7.28252472,112.79381968
21,-7.28253694,112.79380637
22,-7.28254916,112.79379306
23,-7.28256137,112.79377975
24,-7.28257359,112.79376645
25,-7.28258581,112.79375314
26,-7.28259802,112.79373983
27,-7.28261024,112.79372652
28,-7.28262246,112.79371322
29,-7.28263468,112.79369991
30,-7.28264689,112.79368660
31,-7.28265911,112.79367329
32,-7.28267133,112.79365998
33,-7.28268354,112.79364668
34,-7.28269576,112.79363337
35,-7.28270798,112.79362006
36,-7.28272019,112.79360675
37,-7.28273241,112.79359344
38,-7.28274463,112.79358014
39,-7.28275685,112.79356683
40,-7.28276906,112.79355352
41,-7.28278128,112.79354021
42,-7.28279350,112.79352690
43,-7.28280571,112.79351360
44,-7.28281793,112.79350029
45,-7.28283015,112.79348698
46,-7.28284237,112.79347367
47,-7.28285458,112.79346037
48,-7.28286680,112.79344706
49,-7.28287902,112.79343375
50,-7.28289123,112.79342044
51,-7.28290345,112.79340713
52,-7.28291592,112.79339408
53,-7.28292869,112.79338131
54,-7.28294146,112.79336854
55,-7.28295423,112.79335577
56,-7.28296733,112.79334334
57,-7.28298068,112.79333120
58,-7.28299404,112.79331905
59,-7.28300740,112.79330691
60,-7.28302076,112.79329477
61,-7.28303411,112.79328262
62,-7.28304747,112.79327048
63,-7.28306083,112.79325834
64,-7.28307519,112.79324778
65,-7.28309174,112.79324068
66,-7.28310829,112.79323359
67,-7.28312485,112.79322649
68,-7.28314141,112.79321943
69,-7.28315813,112.79321275
70,-7.28317485,112.79320606
71,-7.28319151,112.79319924
72,-7.28320763,112.79319119
