id,latitude,longitude
1,-7.27884000,112.79786000
2,-7.27883190,112.79784381
3,-7.27882381,112.79782762
4,-7.27881324,112.79781324
5,-7.27880396,112.79779791
6,-7.27879347,112.79778347
7,-7.27878070,112.79777070
8,-7.27876793,112.79775793
9,-7.27875516,112.79774516
10,-7.27874239,112.79773239
11,-7.27872962,112.79771962
12,-7.27871685,112.79770685
13,-7.27870331,112.79769498
14,-7.27868888,112.79768416
15,-7.27867445,112.79767334
16,-7.27866091,112.79766144
17,-7.27864776,112.79764907
18,-7.27863461,112.79763669
19,-7.27862147,112.79762432
20,-7.27860832,112.79761195
21,-7.27859517,112.79759957
22,-7.27858202,112.79758720
23,-7.27856888,112.79757482
24,-7.27855573,112.79756245
25,-7.27854258,112.79755008
26,-7.27852943,112.79753770
27,-7.27851629,112.79752533
28,-7.27850314,112.79751295
29,-7.27848995,112.79750062
30,-7.27847675,112.79748830
31,-7.27846356,112.79747599
32,-7.27845036,112.79746367
33,-7.27843716,112.79745135
34,-7.27842396,112.79743903
35,-7.27841076,112.79742671
36,-7.27839756,112.79741439
37,-7.27838437,112.79740207
38,-7.27837117,112.79738976
39,-7.27835797,112.79737744
40,-7.27834480,112.79736509
41,-7.27833166,112.79735270
42,-7.27831853,112.79734031
43,-7.27830540,112.79732792
44,-7.27829226,112.79731553
45,-7.27827913,112.79730314
46,-7.27826600,112.79729075
47,-7.27825287,112.79727836
48,-7.27823973,112.79726597
49,-7.27822660,112.79725358
50,-7.27821347,112.79724119
51,-7.27820033,112.79722881
52,-7.27818720,112.79721642
53,-7.27817407,112.79720403
54,-7.27816093,112.79719164
55,-7.27814780,112.79717925
56,-7.27813467,112.79716686
57,-7.27812154,112.79715447
58,-7.27810840,112.79714208
59,-7.27809527,112.79712969
60,-7.27808214,112.79711730
61,-7.27806900,112.79710491
62,-7.27805587,112.79709252
63,-7.27804274,112.79708013
64,-7.27802961,112.79706774
65,-7.27801647,112.79705535
66,-7.27800334,112.79704296
67,-7.27799021,112.79703057
68,-7.27797707,112.79701818
69,-7.27796394,112.79700579
70,-7.27795081,112.79699340
71,-7.27793767,112.79698101
72,-7.27792454,112.79696862
73,-7.27791141,112.79695623
74,-7.27789828,112.79694385
75,-7.27788514,112.79693146
76,-7.27787201,112.79691907
77,-7.27785888,112.79690668
78,-7.27784574,112.79689429
79,-7.27783261,112.79688190
80,-7.27782000,112.79687000
