id,latitude,longitude
1,-7.28168000,112.79261000
2,-7.28169759,112.79260623
3,-7.28171519,112.79260246
4,-7.28173278,112.79259869
5,-7.28175037,112.79259492
6,-7.28176797,112.79259115
7,-7.28178556,112.79258738
8,-7.28180315,112.79258361
9,-7.28182075,112.79257984
10,-7.28183834,112.79257607
11,-7.28185593,112.79257230
12,-7.28187353,112.79256853
13,-7.28189112,112.79256476
14,-7.28190871,112.79256099
15,-7.28192631,112.79255722
16,-7.28194390,112.79255345
17,-7.28196149,112.79254968
18,-7.28197909,112.79254591
19,-7.28199668,112.79254214
20,-7.28201427,112.79253837
21,-7.28203187,112.79253460
22,-7.28204946,112.79253083
23,-7.28206705,112.79252706
24,-7.28208465,112.79252329
25,-7.28210224,112.79251952
26,-7.28211983,112.79251575
27,-7.28213743,112.79251198
28,-7.28215502,112.79250821
29,-7.28217261,112.79250444
30,-7.28219021,112.79250067
31,-7.28220780,112.79249690
32,-7.28222539,112.79249313
33,-7.28224299,112.79248936
34,-7.28226058,112.79248559
35,-7.28227818,112.79248182
36,-7.28229577,112.79247805
37,-7.28231336,112.79247428
38,-7.28233096,112.79247051
39,-7.28234855,112.79246674
40,-7.28236614,112.79246297
41,-7.28238368,112.79245899
42,-7.28240104,112.79245421
43,-7.28241839,112.79244944
44,-7.28243574,112.79244467
45,-7.28245309,112.79243990
46,-7.28247045,112.79243513
47,-7.28248780,112.79243036
48,-7.28250515,112.79242558
49,-7.28252250,112.79242081
50,-7.28253986,112.79241604
51,-7.28255721,112.79241127
52,-7.28257456,112.79240650
53,-7.28259191,112.79240172
54,-7.28260927,112.79239695
55,-7.28262662,112.79239218
56,-7.28264397,112.79238741
57,-7.28266132,112.79238264
58,-7.28267868,112.79237786
59,-7.28269603,112.79237309
60,-7.28271338,112.79236832
61,-7.28273073,112.79236355
62,-7.28274808,112.79235878
63,-7.28276544,112.79235400
64,-7.28278283,112.79234939
65,-7.28280042,112.79234562
66,-7.28281802,112.79234185
67,-7.28283561,112.79233808
68,-7.28285320,112.79233431
69,-7.28287080,112.79233054
70,-7.28288839,112.79232677
71,-7.28290598,112.79232300
72,-7.28292355,112.79231911
73,-7.28294101,112.79231475
74,-7.28295846,112.79231038
75,-7.28297640,112.79231000
76,-7.28299439,112.79231000
77,-7.28301238,112.79231000
78,-7.28303036,112.79231000
79,-7.28304835,112.79231000
80,-7.28306450,112.79231450
81,-7.28307917,112.79232459
82,-7.28309419,112.79233419
83,-7.28310696,112.79234696
84,-7.28311826,112.79236102
85,-7.28312911,112.79237548
86,-7.28313996,112.79238994
87,-7.28314571,112.79240712
88,-7.28315144,112.79242431
89,-7.28315717,112.79244150
90,-7.28316290,112.79245869
91,-7.28316863,112.79247588
92,-7.28317310,112.79249342
93,-7.28317717,112.79251108
94,-7.28318125,112.79252875
95,-7.28318532,112.79254641
96,-7.28318940,112.79256407
97,-7.28319348,112.79258173
98,-7.28319755,112.79259939
99,-7.28320076,112.79261720
100,-7.28320266,112.79263523
101,-7.28320455,112.79265326
102,-7.28320645,112.79267129
103,-7.28320835,112.79268932
104,-7.28321025,112.79270736
105,-7.28321215,112.79272539
106,-7.28321404,112.79274342
107,-7.28321594,112.79276145
108,-7.28321784,112.79277948
109,-7.28321974,112.79279751
110,-7.28322130,112.79281558
111,-7.28322280,112.79283365
112,-7.28322431,112.79285172
113,-7.28322582,112.79286978
114,-7.28322732,112.79288785
115,-7.28322883,112.79290592
116,-7.28323031,112.79292399
117,-7.28323170,112.79294207
118,-7.28323309,112.79296015
119,-7.28323448,112.79297823
120,-7.28323587,112.79299631
121,-7.28323726,112.79301439
122,-7.28323865,112.79303246
123,-7.28324000,112.79305000
