id,latitude,longitude
1,-7.28153000,112.79252000
2,-7.28151672,112.79250777
3,-7.28150345,112.79249553
4,-7.28149017,112.79248330
5,-7.28147690,112.79247106
6,-7.28146362,112.79245883
7,-7.28145035,112.79244659
8,-7.28143707,112.79243436
9,-7.28142380,112.79242213
10,-7.28141052,112.79240989
11,-7.28139725,112.79239766
12,-7.28138397,112.79238542
13,-7.28137069,112.79237319
14,-7.28135742,112.79236095
15,-7.28134414,112.79234872
16,-7.28133087,112.79233649
17,-7.28131759,112.79232425
18,-7.28130432,112.79231202
19,-7.28129104,112.79229978
20,-7.28127777,112.79228755
21,-7.28126449,112.79227531
22,-7.28125121,112.79226308
23,-7.28123794,112.79225085
24,-7.28122466,112.79223861
25,-7.28121139,112.79222638
26,-7.28119811,112.79221414
27,-7.28118484,112.79220191
28,-7.28117156,112.79218967
29,-7.28115829,112.79217744
30,-7.28114501,112.79216521
31,-7.28113174,112.79215297
32,-7.28111846,112.79214074
33,-7.28110518,112.79212850
34,-7.28109191,112.79211627
35,-7.28107863,112.79210403
36,-7.28106536,112.79209180
37,-7.28105208,112.79207957
38,-7.28103881,112.79206733
39,-7.28102553,112.79205510
40,-7.28101226,112.79204286
41,-7.28099900,112.79203061
42,-7.28098573,112.79201837
43,-7.28097246,112.79200612
44,-7.28095920,112.79199388
45,-7.28094593,112.79198163
46,-7.28093267,112.79196939
47,-7.28091940,112.79195714
48,-7.28090614,112.79194490
49,-7.28089287,112.79193265
50,-7.28087968,112.79192032
51,-7.28086652,112.79190797
52,-7.28085335,112.79189561
53,-7.28084018,112.79188326
54,-7.28082702,112.79187091
55,-7.28081385,112.79185855
56,-7.28080069,112.79184620
57,-7.28078752,112.79183385
58,-7.28077435,112.79182149
59,-7.28076119,112.79180914
60,-7.28074802,112.79179678
61,-7.28073485,112.79178443
62,-7.28072169,112.79177208
63,-7.28070852,112.79175972
64,-7.28069536,112.79174737
65,-7.28068219,112.79173502
66,-7.28066902,112.79172266
67,-7.28065586,112.79171031
68,-7.28064269,112.79169796
69,-7.28062952,112.79168560
70,-7.28061636,112.79167325
71,-7.28060319,112.79166090
72,-7.28059002,112.79164854
73,-7.28057686,112.79163619
74,-7.28056369,112.79162383
75,-7.28055053,112.79161148
76,-7.28053736,112.79159913
77,-7.28052419,112.79158677
78,-7.28051103,112.79157442
79,-7.28049786,112.79156207
80,-7.28048469,112.79154971
81,-7.28047153,112.79153736
82,-7.28045836,112.79152501
83,-7.28044520,112.79151265
84,-7.28043203,112.79150030
85,-7.28041886,112.79148795
86,-7.28040570,112.79147559
87,-7.28039253,112.79146324
88,-7.28037936,112.79145088
89,-7.28036620,112.79143853
90,-7.28035303,112.79142618
91,-7.28033986,112.79141382
92,-7.28032670,112.79140147
93,-7.28031353,112.79138912
94,-7.28030037,112.79137676
95,-7.28028720,112.79136441
96,-7.28027403,112.79135206
97,-7.28026087,112.79133970
98,-7.28024770,112.79132735
99,-7.28023453,112.79131500
100,-7.28022137,112.79130264
101,-7.28020820,112.79129029
102,-7.28019504,112.79127793
103,-7.28018187,112.79126558
104,-7.28016870,112.79125323
105,-7.28015554,112.79124087
106,-7.28014237,112.79122852
107,-7.28012920,112.79121617
108,-7.28011604,112.79120381
109,-7.28010287,112.79119146
110,-7.28008970,112.79117911
111,-7.28008000,112.79117000
