id,latitude,longitude
1,-7.27782000,112.79687000
2,-7.27781000,112.79685607
3,-7.27781000,112.79683793
4,-7.27780000,112.79682988
5,-7.27780000,112.79681175
6,-7.27779000,112.79680370
7,-7.27778000,112.79679565
8,-7.27776831,112.79678831
9,-7.27775372,112.79678000
10,-7.27773573,112.79678000
11,-7.27771774,112.79678000
12,-7.27769983,112.79678017
13,-7.27768585,112.79679000
14,-7.27767779,112.79680000
15,-7.27766972,112.79681000
16,-7.27766000,112.79681833
17,-7.27765000,112.79682638
18,-7.27765000,112.79684452
19,-7.27764000,112.79685257
20,-7.27764049,112.79687049
21,-7.27765000,112.79688463
22,-7.27765195,112.79690195
23,-7.27766000,112.79691670
24,-7.27767000,112.79692475
25,-7.27768000,112.79693280
26,-7.27769085,112.79694000
27,-7.27770000,112.79694890
28,-7.27771690,112.79695000
29,-7.27773242,112.79695828
30,-7.27774742,112.79696828
