id,latitude,longitude
1,-7.27995000,112.79125000
2,-7.27995440,112.79126758
3,-7.27995879,112.79128517
4,-7.27996319,112.79130275
5,-7.27996758,112.79132033
6,-7.27997198,112.79133791
7,-7.27997637,112.79135550
8,-7.27998029,112.79137316
9,-7.27998193,112.79139122
10,-7.27998357,112.79140928
11,-7.27998521,112.79142733
12,-7.27998685,112.79144539
13,-7.27998850,112.79146345
14,-7.27999000,112.79148151
15,-7.27999000,112.79149964
16,-7.27999000,112.79151778
17,-7.27999000,112.79153591
18,-7.27999000,112.79155404
19,-7.27999000,112.79157217
20,-7.27999000,112.79159031
21,-7.27999000,112.79160844
22,-7.27999000,112.79162657
23,-7.27999000,112.79164470
24,-7.27999000,112.79166284
25,-7.27999000,112.79168097
26,-7.27999000,112.79169910
27,-7.27999000,112.79171723
28,-7.27999000,112.79173537
29,-7.27999265,112.79175323
30,-7.27999620,112.79177101
31,-7.27999976,112.79178878
32,-7.28000000,112.79180689
33,-7.28000159,112.79182476
34,-7.28000732,112.79184195
35,-7.28001699,112.79185658
36,-7.28003014,112.79186895
37,-7.28004328,112.79188133
38,-7.28005643,112.79189370
39,-7.28006958,112.79190607
40,-7.28008273,112.79191845
41,-7.28009587,112.79193082
42,-7.28010902,112.79194320
43,-7.28012217,112.79195557
44,-7.28013532,112.79196794
45,-7.28014846,112.79198032
46,-7.28016161,112.79199269
47,-7.28017476,112.79200507
48,-7.28018768,112.79201768
49,-7.28020045,112.79203045
50,-7.28021322,112.79204322
51,-7.28022599,112.79205599
52,-7.28023876,112.79206876
53,-7.28025153,112.79208153
54,-7.28026430,112.79209430
55,-7.28027707,112.79210707
56,-7.28028984,112.79211984
57,-7.28030261,112.79213261
58,-7.28031538,112.79214538
59,-7.28032815,112.79215815
60,-7.28034092,112.79217092
61,-7.28035368,112.79218368
62,-7.28036645,112.79219645
63,-7.28037922,112.79220922
64,-7.28039199,112.79222199
65,-7.28040476,112.79223476
66,-7.28041753,112.79224753
67,-7.28043030,112.79226030
68,-7.28044307,112.79227307
69,-7.28045584,112.79228584
70,-7.28046861,112.79229861
71,-7.28048138,112.79231138
72,-7.28049415,112.79232415
73,-7.28050692,112.79233692
74,-7.28051969,112.79234969
75,-7.28053246,112.79236246
76,-7.28054523,112.79237523
77,-7.28055800,112.79238800
78,-7.28057077,112.79240077
79,-7.28058354,112.79241354
80,-7.28059631,112.79242631
81,-7.28060908,112.79243908
82,-7.28062185,112.79245185
83,-7.28063462,112.79246462
84,-7.28064739,112.79247739
85,-7.28066016,112.79249016
86,-7.28067293,112.79250293
87,-7.28068570,112.79251570
88,-7.28069847,112.79252847
89,-7.28071124,112.79254124
90,-7.28072401,112.79255401
91,-7.28073678,112.79256678
92,-7.28074955,112.79257955
93,-7.28076232,112.79259232
94,-7.28077509,112.79260509
95,-7.28078785,112.79261785
96,-7.28080062,112.79263062
97,-7.28081339,112.79264339
98,-7.28082616,112.79265616
99,-7.28083893,112.79266893
100,-7.28085170,112.79268170
101,-7.28086447,112.79269447
102,-7.28087724,112.79270724
103,-7.28089001,112.79272001
104,-7.28090000,112.79273000
