id,latitude,longitude
1,-7.28187000,112.79770000
2,-7.28185219,112.79769746
3,-7.28183438,112.79769491
4,-7.28181657,112.79769237
5,-7.28179875,112.79769000
6,-7.28178123,112.79769292
7,-7.28176416,112.79769861
8,-7.28174639,112.79770000
9,-7.28172841,112.79770000
10,-7.28171042,112.79770000
11,-7.28169248,112.79770135
12,-7.28167455,112.79770273
13,-7.28165661,112.79770411
14,-7.28163868,112.79770549
15,-7.28162075,112.79770687
16,-7.28160281,112.79770825
17,-7.28158488,112.79770962
18,-7.28156695,112.79771109
19,-7.28154902,112.79771258
20,-7.28153110,112.79771408
21,-7.28151317,112.79771557
22,-7.28149525,112.79771706
23,-7.28147732,112.79771856
24,-7.28145940,112.79772005
25,-7.28144147,112.79772154
26,-7.28142355,112.79772304
27,-7.28140562,112.79772453
28,-7.28138770,112.79772603
29,-7.28136977,112.79772752
30,-7.28135185,112.79772901
31,-7.28133392,112.79773047
32,-7.28131598,112.79773185
33,-7.28129805,112.79773323
34,-7.28128011,112.79773461
35,-7.28126218,112.79773599
36,-7.28124425,112.79773737
37,-7.28122631,112.79773875
38,-7.28120838,112.79774012
39,-7.28119044,112.79774150
40,-7.28117251,112.79774288
41,-7.28115457,112.79774426
42,-7.28113664,112.79774564
43,-7.28111871,112.79774702
44,-7.28110077,112.79774840
45,-7.28108284,112.79774978
46,-7.28106487,112.79775061
47,-7.28104690,112.79775132
48,-7.28102893,112.79775204
49,-7.28101095,112.79775276
50,-7.28099298,112.79775348
51,-7.28097501,112.79775420
52,-7.28095704,112.79775492
53,-7.28093907,112.79775564
54,-7.28092109,112.79775636
55,-7.28090312,112.79775708
56,-7.28088515,112.79775779
57,-7.28086718,112.79775851
58,-7.28084920,112.79775923
59,-7.28083123,112.79775995
60,-7.28081326,112.79776074
61,-7.28079529,112.79776153
62,-7.28077732,112.79776232
63,-7.28075935,112.79776312
64,-7.28074139,112.79776391
65,-7.28072342,112.79776470
66,-7.28070545,112.79776549
67,-7.28068748,112.79776629
68,-7.28066951,112.79776708
69,-7.28065154,112.79776787
70,-7.28063357,112.79776867
71,-7.28061560,112.79776946
72,-7.28059763,112.79777025
73,-7.28057966,112.79777104
74,-7.28056169,112.79777184
75,-7.28054372,112.79777263
76,-7.28052575,112.79777342
77,-7.28050779,112.79777422
78,-7.28048982,112.79777501
79,-7.28047185,112.79777580
80,-7.28045388,112.79777659
81,-7.28043591,112.79777739
82,-7.28041794,112.79777818
83,-7.28039997,112.79777897
84,-7.28038200,112.79777976
85,-7.28036403,112.79778056
86,-7.28034606,112.79778135
87,-7.28032809,112.79778214
88,-7.28031012,112.79778294
89,-7.28029215,112.79778373
90,-7.28027419,112.79778452
91,-7.28025622,112.79778531
92,-7.28023825,112.79778611
93,-7.28022028,112.79778690
94,-7.28020231,112.79778769
95,-7.28018434,112.79778849
96,-7.28016637,112.79778928
97,-7.28014840,112.79779011
98,-7.28013046,112.79779140
99,-7.28011252,112.79779268
100,-7.28009458,112.79779396
101,-7.28007664,112.79779524
102,-7.28005870,112.79779652
103,-7.28004075,112.79779780
104,-7.28002281,112.79779908
105,-7.28000487,112.79780037
106,-7.27998693,112.79780165
107,-7.27996899,112.79780293
108,-7.27995105,112.79780421
109,-7.27993311,112.79780549
110,-7.27991516,112.79780677
111,-7.27989722,112.79780806
112,-7.27987928,112.79780934
113,-7.27986134,112.79781062
114,-7.27984340,112.79781190
115,-7.27982546,112.79781318
116,-7.27980752,112.79781446
117,-7.27978957,112.79781574
118,-7.27977163,112.79781703
119,-7.27975369,112.79781831
120,-7.27973575,112.79781959
121,-7.27971781,112.79782087
122,-7.27969987,112.79782215
123,-7.27968193,112.79782343
124,-7.27966398,112.79782472
125,-7.27964604,112.79782600
126,-7.27962810,112.79782728
127,-7.27961016,112.79782856
128,-7.27959222,112.79782984
129,-7.27957428,112.79783112
130,-7.27955633,112.79783240
131,-7.27953839,112.79783369
132,-7.27952045,112.79783497
133,-7.27950251,112.79783625
134,-7.27948457,112.79783753
135,-7.27946663,112.79783881
136,-7.27944869,112.79784010
137,-7.27943075,112.79784141
138,-7.27941281,112.79784272
139,-7.27939487,112.79784403
140,-7.27937693,112.79784535
141,-7.27935899,112.79784666
142,-7.27934105,112.79784797
143,-7.27932311,112.79784928
144,-7.27930517,112.79785060
145,-7.27928723,112.79785191
146,-7.27926929,112.79785322
147,-7.27925135,112.79785454
148,-7.27923342,112.79785585
149,-7.27921548,112.79785716
150,-7.27919754,112.79785847
151,-7.27917960,112.79785979
152,-7.27916166,112.79786110
153,-7.27914372,112.79786241
154,-7.27912578,112.79786372
155,-7.27910784,112.79786504
156,-7.27908990,112.79786635
157,-7.27907196,112.79786766
158,-7.27905402,112.79786897
159,-7.27903608,112.79787026
160,-7.27901813,112.79787146
161,-7.27900019,112.79787265
162,-7.27898224,112.79787385
163,-7.27896429,112.79787505
164,-7.27894635,112.79787624
165,-7.27892840,112.79787744
166,-7.27891045,112.79787864
167,-7.27889250,112.79787983
