id,latitude,longitude
1,-7.28645000,112.79365000
2,-7.28646686,112.79364368
3,-7.28648372,112.79363736
4,-7.28650057,112.79363103
5,-7.28651743,112.79362471
6,-7.28653428,112.79361836
7,-7.28655108,112.79361189
8,-7.28656789,112.79360543
9,-7.28658469,112.79359896
10,-7.28660150,112.79359250
11,-7.28661830,112.79358604
12,-7.28663511,112.79357957
13,-7.28665191,112.79357311
14,-7.28666872,112.79356665
15,-7.28668552,112.79356018
16,-7.28670233,112.79355372
17,-7.28671913,112.79354726
18,-7.28673594,112.79354079
19,-7.28675274,112.79353433
20,-7.28676955,112.79352787
21,-7.28678635,112.79352140
22,-7.28680312,112.79351484
23,-7.28681988,112.79350825
24,-7.28683663,112.79350167
25,-7.28685339,112.79349508
26,-7.28687015,112.79348849
27,-7.28688690,112.79348190
28,-7.28690366,112.79347531
29,-7.28692042,112.79346872
30,-7.28693718,112.79346214
31,-7.28695393,112.79345555
32,-7.28697069,112.79344896
33,-7.28698745,112.79344237
34,-7.28700421,112.79343578
35,-7.28702096,112.79342919
36,-7.28703772,112.79342261
37,-7.28705448,112.79341602
38,-7.28707123,112.79340943
39,-7.28708799,112.79340284
40,-7.28710475,112.79339625
41,-7.28712151,112.79338966
42,-7.28713826,112.79338308
43,-7.28715502,112.79337649
44,-7.28717178,112.79336990
45,-7.28718853,112.79336331
46,-7.28720529,112.79335672
47,-7.28722205,112.79335013
48,-7.28723881,112.79334355
49,-7.28725556,112.79333696
50,-7.28727232,112.79333037
51,-7.28728908,112.79332378
52,-7.28730584,112.79331719
53,-7.28732259,112.79331060
54,-7.28733935,112.79330402
55,-7.28735611,112.79329743
56,-7.28737286,112.79329084
57,-7.28738962,112.79328425
58,-7.28740638,112.79327766
59,-7.28742314,112.79327107
60,-7.28743989,112.79326449
61,-7.28745665,112.79325790
62,-7.28747341,112.79325131
63,-7.28749016,112.79324472
64,-7.28750692,112.79323813
65,-7.28752368,112.79323155
66,-7.28754044,112.79322496
67,-7.28755719,112.79321837
68,-7.28757395,112.79321178
69,-7.28759071,112.79320519
70,-7.28760747,112.79319860
71,-7.28762422,112.79319202
72,-7.28764098,112.79318543
73,-7.28765774,112.79317884
74,-7.28767449,112.79317225
75,-7.28769125,112.79316566
76,-7.28770801,112.79315907
77,-7.28772477,112.79315249
78,-7.28774152,112.79314590
79,-7.28775828,112.79313931
80,-7.28777504,112.79313272
81,-7.28779179,112.79312613
82,-7.28780855,112.79311954
83,-7.28782531,112.79311296
84,-7.28784207,112.79310637
85,-7.28785882,112.79309978
86,-7.28787558,112.79309319
87,-7.28789234,112.79308660
88,-7.28790909,112.79308001
89,-7.28792585,112.79307343
90,-7.28794261,112.79306684
91,-7.28795937,112.79306025
92,-7.28797606,112.79305349
93,-7.28799274,112.79304673
94,-7.28800943,112.79303996
95,-7.28802612,112.79303319
96,-7.28804281,112.79302643
97,-7.28805950,112.79301966
98,-7.28807618,112.79301290
99,-7.28809287,112.79300613
100,-7.28810956,112.79299937
101,-7.28812625,112.79299260
102,-7.28814293,112.79298584
103,-7.28815962,112.79297907
104,-7.28817631,112.79297231
105,-7.28819300,112.79296554
106,-7.28820968,112.79295878
107,-7.28822637,112.79295201
108,-7.28824306,112.79294525
109,-7.28825975,112.79293848
110,-7.28827644,112.79293172
111,-7.28829312,112.79292495
112,-7.28830981,112.79291818
113,-7.28832650,112.79291142
114,-7.28834319,112.79290465
115,-7.28835987,112.79289789
116,-7.28837656,112.79289112
117,-7.28839325,112.79288436
118,-7.28840994,112.79287759
119,-7.28842662,112.79287083
120,-7.28844331,112.79286406
121,-7.28846000,112.79285730
122,-7.28847669,112.79285053
123,-7.28849338,112.79284377
124,-7.28851006,112.79283700
125,-7.28852675,112.79283024
126,-7.28854344,112.79282347
127,-7.28856013,112.79281671
128,-7.28857681,112.79280994
129,-7.28859350,112.79280317
130,-7.28861019,112.79279641
131,-7.28862688,112.79278964
132,-7.28864356,112.79278288
133,-7.28866025,112.79277611
134,-7.28867694,112.79276935
135,-7.28869363,112.79276258
136,-7.28871032,112.79275582
137,-7.28872700,112.79274905
138,-7.28874369,112.79274229
139,-7.28876038,112.79273552
140,-7.28877707,112.79272876
141,-7.28879375,112.79272199
142,-7.28881044,112.79271523
143,-7.28882713,112.79270846
144,-7.28884382,112.79270170
145,-7.28886051,112.79269493
146,-7.28887719,112.79268817
147,-7.28889388,112.79268140
148,-7.28891057,112.79267463
